Enrollments - ContactVerification - No isPhoneNumberVerified,Partner Service_BaaS_ACC,1410867,Run TestCase - SplunkParsePN,https://gdcqatestrail01/testrail/index.php?/tests/view/177233453,https://gdcqatestrail01.nextestate.com:448/108/1410867/200597840-2024-06-30-03-51-45--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200597840-2024-06-30-03-51-45--response.txt
DisputeUrls - HappyPath,Partner Service_BaaS_ACC,1410867,Run TestCase - DisputeUrls,https://gdcqatestrail01/testrail/index.php?/tests/view/177233518,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598593-2024-06-30-03-49-18--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598593-2024-06-30-03-49-18--response.txt
DisputeTokens - HappyPath,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments,https://gdcqatestrail01/testrail/index.php?/tests/view/177233599,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599455-2024-06-30-03-48-57--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200599455-2024-06-30-03-48-57--response.txt
ProvisioningAUTH - VisaCard-DDA,Partner Service_BaaS_ACC,1410867,Run TestCase - Enrollments - DDA,https://gdcqatestrail01/testrail/index.php?/tests/view/177233402,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596720-2024-06-30-03-48-12--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596720-2024-06-30-03-48-12--response.txt
ProvisioningAUTH - VisaCard,Partner Service_BaaS_ACC,1410867,Run TestCase - Generate AUTH and Verify AUTH Mapping,https://gdcqatestrail01/testrail/index.php?/tests/view/177233399,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596714-2024-06-30-03-44-01--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596714-2024-06-30-03-44-01--response.txt
CareCase - HappyPath - MinField,Partner Service_BaaS_ACC,1410867,Run TestCase - Post CareCase,https://gdcqatestrail01/testrail/index.php?/tests/view/177233531,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598815-2024-06-30-03-43-27--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598815-2024-06-30-03-43-27--response.txt
CareCase - HappyPath - AllField,Partner Service_BaaS_ACC,1410867,Run TestCase - Post CareCase,https://gdcqatestrail01/testrail/index.php?/tests/view/177233530,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598814-2024-06-30-03-43-16--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598814-2024-06-30-03-43-16--response.txt
ActivateCard with PaymentInst - CardLost - ActivateInitialPlastic After New Plasic Activated,Partner Service_BaaS_ACC,1410867,Run TestCase - Lost Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233477,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598319-2024-06-30-03-42-55--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598319-2024-06-30-03-42-55--response.txt
ActivateCard - CardDamaged - InitialEMVActivated_before_ActivateLatestPlastic - WithPaymentTokenizedPAN,Partner Service_BaaS_ACC,1410867,Run TestCase - Damaged Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233479,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598355-2024-06-30-03-42-09--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598355-2024-06-30-03-42-09--response.txt
ActivateCard - CardDamaged - ActivateLatestPlastic - WithPaymentTokenizedPAN,Partner Service_BaaS_ACC,1410867,Run TestCase - Damaged Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233478,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598354-2024-06-30-03-41-33--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598354-2024-06-30-03-41-33--response.txt
ActivateCard - CardDamaged - ActivateLatestPlastic,Partner Service_BaaS_ACC,1410867,Run TestCase - Damaged Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233473,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598293-2024-06-30-03-40-56--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200598293-2024-06-30-03-40-56--response.txt
ActivateCard - ReportDamageOnConsolidatedCard,Partner Service_BaaS_ACC,1410867,Run Test Case - ReportDamage,https://gdcqatestrail01/testrail/index.php?/tests/view/177233612,https://gdcqatestrail01.nextestate.com:448/108/1410867/200974596-2024-06-30-03-40-34--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200974596-2024-06-30-03-40-34--response.txt
ActivateCard - Card Is Restricted,Partner Service_BaaS_ACC,1410867,Run TestCase - Damaged Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233396,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596688-2024-06-30-03-39-41--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596688-2024-06-30-03-39-41--response.txt
ActivateCard - Card Is Closed,Partner Service_BaaS_ACC,1410867,Run TestCase - Lost Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233395,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596669-2024-06-30-03-39-32--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596669-2024-06-30-03-39-32--response.txt
ActivateCard - Card Is Blocked,Partner Service_BaaS_ACC,1410867,Run TestCase - Damaged Card,https://gdcqatestrail01/testrail/index.php?/tests/view/177233394,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596668-2024-06-30-03-38-40--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596668-2024-06-30-03-38-40--response.txt
AccountStatusChange - FromRestrictedToNormal - NT199,Partner Service_BaaS_ACC,1410867,Check ACI status,https://gdcqatestrail01/testrail/index.php?/tests/view/177233418,None,None
AccountStatusChange - AllStatusChanges - Happy Path,Partner Service_BaaS_ACC,1410867,Check ACI status,https://gdcqatestrail01/testrail/index.php?/tests/view/177233417,None,None
Account Search - HappyPath,Partner Service_BaaS_ACC,1410867,ACI Validation,https://gdcqatestrail01/testrail/index.php?/tests/view/177233410,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596800-2024-06-30-03-28-42--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596800-2024-06-30-03-28-42--response.txt
Purses - AddPurses - WithGoalDate-IdentityTheftRestrictedAcct,Partner Service_BaaS_ACC,1410867,Run TestCase - Add Purse,https://gdcqatestrail01/testrail/index.php?/tests/view/177233385,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596518-2024-06-30-03-21-53--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410867/200596518-2024-06-30-03-21-53--response.txt
AdjustPurseBalance-NegativeBalance-ShadowEnviornment,BaaS_CBSProcessorManager,1410869,GetAccountBalance-Before AdjustBalance,https://gdcqatestrail01/testrail/index.php?/tests/view/177233634,https://gdcqatestrail01.nextestate.com:448/108/1410869/201505025-2024-06-29-20-24-42--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410869/201505025-2024-06-29-20-24-42--response.txt
AdjustPurseBalance-Idempotency,BaaS_CBSProcessorManager,1410869,GetAccountBalance-After AdjustBalance,https://gdcqatestrail01/testrail/index.php?/tests/view/177233631,https://gdcqatestrail01.nextestate.com:448/108/1410869/201505022-2024-06-29-20-23-45--request.txt,https://gdcqatestrail01.nextestate.com:448/108/1410869/201505022-2024-06-29-20-23-45--response.txt
